Project	Event	Data_Source	Site_Name	Site_Name_Clean	Site_ID	Dataset_ID	Latitude	Longitude	Elevation	Continent	Basin_Type	Basin_Source	Basin_Comment	Basin_Area	Data_Type	Number_Pollen_Samples	AgeModel_Source	Number_Datings
LegacyPollen_1.0	3PINES	Neotoma	Three Pines Bog	Three Pines Bog	7	7	47	-80.1167	294	Eastern North America	Peat	FIXED_100	b, LW, L2,	NA	Raw	41	AWI	2
LegacyPollen_1.0	ABALONE	Neotoma	Abalone Rocks Marsh	Abalone Rocks Marsh	7	8	33.95639	-119.977	0	Western North America	Peat	FIXED_100	NA	NA	Raw	32	AWI	8
LegacyPollen_1.0	ADANGE	Neotoma	Adange	Adange	9	9	43.30556	41.33333	1750	Europe	Alluvial/Fluvial	NA	NA	NA	Raw	40	AWI	4
LegacyPollen_1.0	Adycha_River	Neotoma	Konus Exposure, Adycha River	Konus Exposure, Adycha River	11	11	67.75	135.5833	130	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	13	AWI	5
LegacyPollen_1.0	AGE_neotoma	Neotoma	Ageröds Mosse	Agerods Mosse	12	12	55.93448	13.42774	58	Europe	Peat	FIXED_100	NA	NA	Raw	135	AWI	33
LegacyPollen_1.0	AGUILAR	Neotoma	Aguilar	Aguilar	15	15	-23.8333	-65.75	4000	South America	Peat	FIXED_100	NA	NA	Raw	24	AWI	3
LegacyPollen_1.0	AHL5	Neotoma	Ahlenmoor	Ahlenmoor	16	16	53.694	8.729075	2	Europe	Peat	FIXED_100	NA	NA	Raw	50	AWI	5
LegacyPollen_1.0	AKULININ	Neotoma	Akulinin Exposure P1282	Akulinin Exposure P1282	19	19	47.11667	138.55	20	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	29	AWI	4
LegacyPollen_1.0	AKUV	Neotoma	Akuvaara	Akuvaara	20	20	69.12326	27.67406	170	Europe	Lake	GIS	l, GE, L2,	43966.09331	Raw	34	AWI	5
LegacyPollen_1.0	ALEXLAKE	Neotoma	Alexander Lake	Alexander Lake	24	24	53.3	-60.54	143	Eastern North America	Lake	GIS	l, LW, L1,	430322.3236	Raw	25	AWI	4
LegacyPollen_1.0	ALEXISLK	Neotoma	Alexis Lake	Alexis Lake	25	25	52.51667	-57.0333	200	Eastern North America	Lake	GIS	l, LW, L2,	863081.8296	Raw	15	AWI	4
LegacyPollen_1.0	ALIUK	Neotoma	Aliuk Pond	Aliuk Pond	27	27	54.58333	-57.3667	25	Eastern North America	Lake	Google Earth	6 lakes in 1 km radius averaged	7196.784032	Raw	9	AWI	2
LegacyPollen_1.0	ALUT	Neotoma	Alut Lake	Alut Lake	31	31	60.14	152.33	480	Asia	Lake	GIS	l, GE, L2, modified LW shape	791210.7447	Raw	117	AWI	25
LegacyPollen_1.0	AMARETE	Neotoma	Amarete	Amarete	32	32	-15.2333	-68.9833	4000	South America	Peat	FIXED_100	NA	NA	Raw	15	AWI	2
LegacyPollen_1.0	AMBA	Neotoma	Amba River Exposure 596	Amba River Exposure 596	33	33	43.31667	131.8167	5	Asia	Coast	NA	NA	NA	Raw	8	AWI	3
LegacyPollen_1.0	AMGUEMA1	Neotoma	Amguema River Valley Exposure 1	Amguema River Valley Exposure 1	68	68	67.75	178.7	175	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	4	AWI	2
LegacyPollen_1.0	AMGUEMA2	Neotoma	Amguema River Valley Exposure 2	Amguema River Valley Exposure 2	69	69	67.66667	178.6	87	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	8	AWI	2
LegacyPollen_1.0	AMTKEL	Neotoma	Amtkel	Amtkel	200	200	43.26806	41.30833	1830	Europe	Alluvial/Fluvial	NA	NA	NA	Raw	14	AWI	3
LegacyPollen_1.0	ANDERSLK	Neotoma	Anderson Lake	Anderson Lake	202	202	46.41667	-92.7167	339	Eastern North America	Lake	GIS	l, GE, L2,	30284.45513	Raw	24	AWI	4
LegacyPollen_1.0	ANDERSON	Neotoma	Anderson Pond	Anderson Pond	203	203	36.03	-85.5	303	Eastern North America	Lake	GIS	l, GE, L2,	265.3299613	Raw	60	AWI	10
LegacyPollen_1.0	ANDREE	Neotoma	Andree Bog	Andree Bog	204	204	45.725	-93.25	300	Eastern North America	Peat	FIXED_100	NA	NA	Raw	20	AWI	4
LegacyPollen_1.0	ANDRUSC2	Neotoma	Andrus Lake	Andrus Lake	205	205	46.70169	-85.039	190	Eastern North America	Lake	GIS	l, GE, L2,	132904.9899	Raw	13	AWI	26
LegacyPollen_1.0	ANDYLAKE	Neotoma	Andy Lake	Andy Lake	206	206	64.64	-128.08	1360	Western North America	Lake	GIS	l, LW, L2,	479644.319	Raw	57	AWI	4
LegacyPollen_1.0	ANGAL	Neotoma	Angal Lake	Angal Lake	207	208	67.13	-153.9	820	Western North America	Lake	GIS	l, GE, L2,	31838.0361	Raw	37	AWI	3
LegacyPollen_1.0	ANGE	Neotoma	Lac à l'Ange	Lac a l'Ange	208	209	47.48	-70.68	648	Eastern North America	Lake	GIS	l, GE, L2,	53127.09495	Raw	57	AWI	8
LegacyPollen_1.0	ANTELOPE	Neotoma	Antelope Playa	Antelope Playa	209	210	43.5	-105.45	1450	Western North America	Alluvial/Fluvial	NA	NA	NA	Raw	25	AWI	3
LegacyPollen_1.0	AQUIRI	Neotoma	Lago do Aquiri	Lago do Aquiri	211	212	-3.16	-45.01	10	South America	Lake	Google Earth	l, GE, L2,	22475089.84	Raw	27	AWI	3
LegacyPollen_1.0	ARRINGTO	Neotoma	Arrington Marsh	Arrington Marsh	213	214	39.495	-95.5267	280	Eastern North America	Peat	FIXED_100	NA	NA	Raw	26	AWI	2
LegacyPollen_1.0	ARTSLOUG	Neotoma	Arts Lough	Arts Lough	214	215	52.95	-6.43333	490	Europe	Peat	FIXED_100	NA	NA	Raw	30	AWI	6
LegacyPollen_1.0	ATO	Neotoma	Lac des Atocas	Lac des Atocas	217	219	45.54	-73.31	114	Eastern North America	Lake	GIS	l, GE, L2,	5557.031452	Raw	46	AWI	4
LegacyPollen_1.0	AXELAKE	Neotoma	Axe Lake	Axe Lake	219	221	45.39	-79.5	323	Eastern North America	Lake	GIS	l, LW, L2,	2442730.928	Raw	37	AWI	3
LegacyPollen_1.0	BAIRDIN	Neotoma	Baird Inlet [Rock Basin Lake]	Baird Inlet [Rock Basin Lake]	222	224	78.49167	-76.78	295	Eastern North America	Lake	NA	can't find a basin	NA	Raw	23	AWI	3
LegacyPollen_1.0	BALLIN	Neotoma	Ballinloghig Lake	Ballinloghig Lake	223	225	52.19	-10.31	84	Europe	Lake	GIS	l, GE, L2,	8966.371874	Raw	68	AWI	12
LegacyPollen_1.0	BALLYBET	Neotoma	Ballybetagh	Ballybetagh	224	226	53.16667	-6.25	250	Europe	Peat	FIXED_100	NA	NA	Raw	36	AWI	6
LegacyPollen_1.0	BARABA	Neotoma	Lower Barabaschevka River Exposure 594	Lower Barabaschevka River Exposure 594	228	230	43.13333	131.6	5	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	6	AWI	2
LegacyPollen_1.0	BARCHAMP	Neotoma	Barchampe Lake	Barchampe Lake	229	232	30.63	-83.25	34	Eastern North America	Lake	GIS	l, GE, L2, modified LW shape	161930.5643	Raw	64	AWI	2
LegacyPollen_1.0	BARRETT	Neotoma	Barrett Lake	Barrett Lake	231	234	37.6	-119.01	2816	Western North America	Lake	GIS	l, GE, L2,	13669.54502	Raw	38	AWI	5
LegacyPollen_1.0	BASEBALL	Neotoma	Baseball Bog	Baseball Bog	233	236	47.23	-79.78	292	Eastern North America	Lake	GIS	l, GE, L2, modified LW shape	86643.84067	Raw	40	AWI	2
LegacyPollen_1.0	BASTIEN	Neotoma	Lac Bastien	Lac Bastien	235	238	46.4	-78.9167	305	Eastern North America	Lake	GIS	Chenhzi: publication. Lake shapes: ? check in gis or take average of few lakes closeby. It is definitely a lake.	83554.12	Raw	67	AWI	5
LegacyPollen_1.0	BATLGRND	Neotoma	Battle Ground Lake	Battle Ground Lake	236	239	45.8	-122.49	155	Western North America	Lake	GIS	l, GE, L2,	107929.8493	Raw	105	AWI	15
LegacyPollen_1.0	BATTAGLI	Neotoma	Battaglia Bog	Battaglia Bog	237	240	41.14389	-81.3286	335	Eastern North America	Peat	FIXED_100	NA	NA	Raw	14	AWI	3
LegacyPollen_1.0	BEARBOG	Neotoma	Bear Bog	Bear Bog	242	245	47.18	-80.16	304	Eastern North America	Peat	FIXED_100	NA	NA	Raw	27	AWI	3
LegacyPollen_1.0	BEEFPAST	Neotoma	Beef Pasture	Beef Pasture	246	250	37.47311	-108.16	3060	Western North America	Peat	FIXED_100	NA	NA	Raw	91	AWI	10
LegacyPollen_1.0	BEGASWAM	Neotoma	Bega Swamp	Bega Swamp	247	252	-36.5167	149.5	1080	Indopacific	Peat	FIXED_100	NA	NA	Raw	489	AWI	39
LegacyPollen_1.0	BELLS	Neotoma	Bell's Lake	Bell's Lake	248	253	65.01667	-127.483	580	Western North America	Lake	GIS	l, GE, L2,	78729.31512	Raw	53	AWI	5
LegacyPollen_1.0	BELMONT	Neotoma	Belmont Bog	Belmont Bog	249	254	65.02	-127.47	497	Western North America	Peat	FIXED_100	NA	NA	Raw	46	AWI	7
LegacyPollen_1.0	BELSKALA	Neotoma	Belaya Skala Exposure	Belaya Skala Exposure	251	256	43.25	134.5667	4	Asia	Coast	NA	NA	NA	Raw	14	AWI	3
LegacyPollen_1.0	BER_neotoma	Neotoma	Bereziuk	Bereziuk	252	258	54.04722	-76.1203	205	Eastern North America	Lake	GIS	l, GE, L2,	24024.49608	Raw	24	AWI	3
LegacyPollen_1.0	Indigirka_Lowland	Neotoma	Berelyekh River, Indigirka Lowland	Berelyekh River, Indigirka Lowland	253	259	70.58333	145	20	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	16	AWI	6
LegacyPollen_1.0	BERRYPND	Neotoma	Berry Pond	Berry Pond	254	260	42.51	-73.32	600	Eastern North America	Lake	GIS	l, GE, L2,	32288.89867	Raw	42	AWI	16
LegacyPollen_1.0	BETENK	Neotoma	Betenkyos Exposure, Adycha River	Betenkyos Exposure, Adycha River	255	261	67.66667	135.5833	135	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	10	AWI	3
LegacyPollen_1.0	BI74MS11	Neotoma	Banks Island 74MS11	Banks Island 74MS11	261	267	71.76	-124.24	30	Western North America	Lake	Google Earth	12 neotoma mentions lake, but coordinates are in a 1km diameter lake. lakes in 1 km radius averaged	48872.81663	Raw	55	AWI	3
LegacyPollen_1.0	BI74MS12	Neotoma	Banks Island 74MS12	Banks Island 74MS12	262	268	72.37	-119.84	220	Western North America	Lake	GIS	l, GE, L2,	69677.83353	Raw	33	AWI	3
LegacyPollen_1.0	BI74MS15	Neotoma	Banks Island 74MS15	Banks Island 74MS15	263	269	73.53444	-120.209	120	Western North America	Lake	Google Earth	l, LW, L2,	114909.8084	Raw	62	AWI	4
LegacyPollen_1.0	BIGGSVIL	Neotoma	Biggsville [Cessford Quarry]	Biggsville [Cessford Quarry]	265	271	40.85556	-90.88	198	Eastern North America	Loess/Palaeosol	NA	Chenhzi: publication. Lake shapes: ? Special type: loess-mantled plain	NA	Raw	35	AWI	6
LegacyPollen_1.0	BIGJOHN	Neotoma	Big John Pond	Big John Pond	266	272	47.55918	-94.9708	421	Eastern North America	Lake	GIS	l, GE, L2,	15393.53078	Raw	12	AWI	4
LegacyPollen_1.0	BILLYS	Neotoma	Billy's Lake	Billy's Lake	269	275	46.27058	-94.5516	383	Eastern North America	Lake	GIS	l, GE, L2, Double-check in gis, shape unclear.	30466.61915	Raw	77	AWI	6
LegacyPollen_1.0	BLACKPND	Neotoma	Black Pond	Black Pond	272	278	35.62	-84.19	262	Eastern North America	Lake	GIS	l, GE, L1, shape varies over time, hard to tell what area	9158.16765	Raw	43	AWI	2
LegacyPollen_1.0	BLAKTAIL	Neotoma	Blacktail Pond	Blacktail Pond	273	279	44.95611	-110.601	2012	Western North America	Lake	GIS	l, GE, L2,	27375.53133	Raw	56	AWI	4
LegacyPollen_1.0	BLBIGBEE	Neotoma	BL-Tombigbee	BL-Tombigbee	275	281	33.56333	-88.4744	49	Eastern North America	Peat	FIXED_100	NA	NA	Raw	29	AWI	5
LegacyPollen_1.0	BLUELAKE	Neotoma	Blue Lake	Blue Lake	279	285	-36.4	148.31	1890	Indopacific	Lake	GIS	l, GE, L2,	145019.1006	Raw	43	AWI	10
LegacyPollen_1.0	BLUMOUND	Neotoma	Blue Mounds Creek	Blue Mounds Creek	281	287	43.08333	-89.8667	335	Eastern North America	Lake	NA	can't find a basin	NA	Raw	38	AWI	5
LegacyPollen_1.0	BOAVISTA	Neotoma	Serra da Boa Vista	Serra da Boa Vista	288	294	-27.7	-49.15	1160	South America	Peat	FIXED_100	NA	NA	Raw	38	AWI	4
LegacyPollen_1.0	BOGD	Neotoma	Bog D Pond	Bog D Pond	292	298	47.1775	-95.1627	460	Eastern North America	Lake	GIS	l, GE, L2,	3917.503702	Raw	49	AWI	6
LegacyPollen_1.0	BOLOTNYI	Neotoma	Bolotnyii Stream Exposure 117	Bolotnyii Stream Exposure 117	293	299	42.85	132.7833	4	Asia	Lake	Google Earth	Chenhzi: publication unavailable, a lake in the Neotoma map. Lake shapes: ? bog or river? Its a stream-terrace	336340.3164	Raw	16	AWI	2
LegacyPollen_1.0	BOONE	Neotoma	Boone Lake	Boone Lake	296	302	55.575	-119.433	872	Western North America	Lake	GIS	l, GE, L2, modified LW shape	1645154.706	Raw	72	AWI	7
LegacyPollen_1.0	BORDER	Neotoma	Border Beacon	Border Beacon	297	303	55.33333	-63.2	470	Eastern North America	Lake	Google Earth	14 very lakes in 0.5 km radius averaged	369921.2924	Raw	27	AWI	5
LegacyPollen_1.0	BORIACKB	Neotoma	Boriack Bog	Boriack Bog	298	304	30.36	-97.1261	143	Eastern North America	Peat	FIXED_100	NA	NA	Raw	55	AWI	4
LegacyPollen_1.0	BOUC	Neotoma	Lac Boucané	Lac Boucane	300	306	47.45778	-69.4528	500	Eastern North America	Lake	GIS	l, GE, L2, modified LW shape	213421.9763	Raw	24	AWI	3
LegacyPollen_1.0	BOUNDAR	Neotoma	Boundary Lake	Boundary Lake	301	307	55.25	-67.4	525	Eastern North America	Lake	Google Earth	4 very lakes in 2 km radius averaged	371121.2408	Raw	51	AWI	6
LegacyPollen_1.0	BOUNDARY	Neotoma	Boundary Pond	Boundary Pond	302	308	45.56	-70.68	603	Eastern North America	Lake	GIS	l, GE, L2, modified LW shape	278238.6141	Raw	56	AWI	6
LegacyPollen_1.0	BRANDRET	Neotoma	Brandreth Bog	Brandreth Bog	303	309	43.91667	-74.6833	600	Eastern North America	Peat	FIXED_100	NA	NA	Raw	59	AWI	4
LegacyPollen_1.0	BRI2	Neotoma	Brisay 2	Brisay 2	304	311	54.36	-70.35	595	Eastern North America	Lake	GIS	l, LW, L2,	140888.2224	Raw	19	AWI	3
LegacyPollen_1.0	BROPHY	Neotoma	Brophy Ditch	Brophy Ditch	305	312	43.22	-81.73	184	Eastern North America	Farmland	NA	Chenhzi: publication unavailable, no site description, estimated from the Neotoma map. Lake shapes: ? check in gis. It is definitely a lake.	NA	Raw	25	AWI	2
LegacyPollen_1.0	BROWNC12	Neotoma	Brown Lake	Brown Lake	306	313	45.77978	-89.4925	448	Eastern North America	Lake	GIS	Chenhzi: publication. Lake shapes: l check in gis. LW shape over two differently named lakes. It is definitely a lake.	380820.6	Raw	11	Neotoma_Binford 1986	15
LegacyPollen_1.0	BROWNSBY	Neotoma	Brown's Bay, Lake Minnetonka	Brown's Bay, Lake Minnetonka	307	314	44.95769	-93.5451	300	Eastern North America	Lake	GIS	Chenhzi: site description and Neotoma map. Lake shapes: ? Browns bay is just a part of a huge lake. Take the whole lake or just the bay? It is definitely a lake.	31156582	Raw	15	Neotoma_NAPD 1	12
LegacyPollen_1.0	BROWNSLK	Neotoma	Brown Lake	Brown Lake	308	315	40.68056	-82.0625	295	Eastern North America	Lake	GIS	l, GE, L2,	21919.267	Raw	15	AWI	2
LegacyPollen_1.0	BROWNSPD	Neotoma	Browns Pond	Browns Pond	309	316	38.15472	-79.6164	620	Eastern North America	Lake	GIS	l, GE, L2,	1489.48331	Raw	50	AWI	10
LegacyPollen_1.0	BRUVAT	Neotoma	Bruvatnet [Rovvejávri]	Bruvatnet [Rovvejavri]	310	317	70.18109	28.40721	119	Europe	Lake	GIS	l, GE, L2, modified LW shape	444155.5525	Raw	40	AWI	5
LegacyPollen_1.0	BUCKBEAN	Neotoma	Buckbean Fen	Buckbean Fen	311	318	44.29861	-110.261	2362	Western North America	Peat	FIXED_100	NA	NA	Raw	59	AWI	5
LegacyPollen_1.0	BUCYRUS	Neotoma	Bucyrus Bog	Bucyrus Bog	314	321	40.79722	-82.9333	318	Eastern North America	Peat	FIXED_100	NA	NA	Raw	25	AWI	5
LegacyPollen_1.0	BURDEN	Neotoma	Burden Lake	Burden Lake	317	324	42.60379	-73.5618	192	Eastern North America	Lake	GIS	l, LW, L2,	1437488.983	Raw	34	AWI	11
LegacyPollen_1.0	Byllatskoye	Neotoma	Byllatskoye Exposure, Byllat River, Indigirka Basin	Byllatskoye Exposure, Byllat River, Indigirka Basin	320	327	69.16528	140.0625	316	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	6	AWI	3
LegacyPollen_1.0	CAHABA	Neotoma	Cahaba Pond	Cahaba Pond	321	328	33.5	-86.5333	204	Eastern North America	Lake	GIS	l, GE, L2,	3107.406224	Raw	61	AWI	11
LegacyPollen_1.0	CAL	Neotoma	Saint-Calixte	Saint-Calixte	322	329	45.96111	-73.8681	261	Eastern North America	Lake	Google Earth	NA	14074.76286	Raw	44	AWI	4
LegacyPollen_1.0	CALACONT	Neotoma	Cala Conto	Cala Conto	323	330	-17.5667	-65.9333	2700	South America	Alluvial/Fluvial	NA	NA	NA	Raw	30	AWI	4
LegacyPollen_1.0	CAMEL	Neotoma	Camel Lake	Camel Lake	324	331	30.28	-84.99	20	Eastern North America	Lake	GIS	l, GE, L2,	164903.4986	Raw	116	AWI	9
LegacyPollen_1.0	CAMP11LK	Neotoma	Camp 11 Lake	Camp 11 Lake	325	332	46.67	-88.02	549	Eastern North America	Lake	GIS	l, GE, L2,	37091.99373	Raw	37	AWI	11
LegacyPollen_1.0	CAMP12LK	Neotoma	Camp 12 Lake	Camp 12 Lake	326	333	45.98	-89.37	505	Eastern North America	Lake	GIS	l, GE, L2, two adjacent today sepearated lakes, but in the shape of the world shape both connected. Modified the LW shape and took also the area over both lakes.	359648.9623	Raw	16	AWI	15
LegacyPollen_1.0	CAMPING	Neotoma	Chistoye Lake Exposure	Chistoye Lake Exposure	328	335	59.55	151.8333	91	Asia	Lake	GIS	l, LW, L2,	40161426.07	Raw	12	AWI	6
LegacyPollen_1.0	CANDELAB	Neotoma	Candelabra Lake	Candelabra Lake	329	336	45.95833	-73.8689	1040	Eastern North America	Lake	Google Earth	l, LW, L2,	19407713.13	Raw	58	AWI	12
LegacyPollen_1.0	CAR_neotoma	Neotoma	Tourbière Caribou	Tourbiere Caribou	330	337	47.63972	-71.2358	790	Eastern North America	Lake	Google Earth	NA	41965.72091	Raw	14	AWI	2
LegacyPollen_1.0	CARIB	Neotoma	Lac Caribou	Lac Caribou	332	339	48.19778	-64.94	116	Eastern North America	Lake	GIS	l, GE, L2,	30249.53866	Raw	36	AWI	6
LegacyPollen_1.0	CARIBBOG	Neotoma	Caribou Bog	Caribou Bog	333	340	44.93672	-68.7734	37	Eastern North America	Peat	FIXED_100	NA	NA	Raw	16	AWI	7
LegacyPollen_1.0	CARIBOU_neotoma	Neotoma	Caribou Hill	Caribou Hill	334	341	55.66667	-63.25	475	Eastern North America	Lake	NA	can't find a basin	NA	Raw	37	AWI	5
LegacyPollen_1.0	CARNINO	Neotoma	Selle di Carnino	Selle di Carnino	335	342	44.15	7.694444	1905	Europe	Peat	FIXED_100	NA	NA	Raw	69	AWI	7
LegacyPollen_1.0	CARPLAKE	Neotoma	Carp Lake	Carp Lake	336	343	45.91806	-120.881	714	Western North America	Lake	GIS	l, GE, L2,	81944.06963	Raw	88	AWI	13
LegacyPollen_1.0	CARTER	Neotoma	Carter Site	Carter Site	337	345	40.21	-84.68	305	Eastern North America	Lake	GIS	l, GE, L2,	3986.412005	Raw	44	AWI	6
LegacyPollen_1.0	CAS_neotoma	Neotoma	Lac Castor	Lac Castor	338	346	46.61389	-72.9986	220	Eastern North America	Lake	GIS	l, GE, L2,	35650.54085	Raw	48	AWI	6
LegacyPollen_1.0	CAUNAHU1	Neotoma	Caunahue	Caunahue	342	350	-40	-72	500	South America	Alluvial/Fluvial	NA	NA	NA	Raw	58	AWI	9
LegacyPollen_1.0	CAYAMBE	Neotoma	Cayambe	Cayambe	343	351	-0.03333	-78.0333	4350	South America	Peat	FIXED_100	NA	NA	Raw	22	AWI	6
LegacyPollen_1.0	CEDARBLK	Neotoma	Cedar Bog	Cedar Bog	344	352	45.41	-93.2	405	Eastern North America	Lake	GIS	l, GE, L2,	14980.8094	Raw	44	AWI	3
LegacyPollen_1.0	CHABADA2	Neotoma	Chabada Lake	Chabada Lake	346	354	61.97684	129.3779	290	Asia	Lake	GIS	l, GE, L2,	1590035.106	Raw	116	AWI	4
LegacyPollen_1.0	CHACALT1	Neotoma	Chacaltaya 1	Chacaltaya 1	347	355	-16.3667	-68.15	4750	South America	Peat	FIXED_100	NA	NA	Raw	45	AWI	5
LegacyPollen_1.0	CHACALT2	Neotoma	Chacaltaya 2	Chacaltaya 2	348	356	-16.3667	-68.15	4350	South America	Peat	FIXED_100	NA	NA	Raw	41	AWI	5
LegacyPollen_1.0	CHALCOLA	Neotoma	Chalco Lake	Chalco Lake	349	357	19.5	-99	2240	Eastern North America	Lake	NA	can't find a basin	NA	Raw	90	AWI	9
LegacyPollen_1.0	CHASE_neotoma	Neotoma	Chase Pond	Chase Pond	353	361	45.65139	-60.675	15	Eastern North America	Lake	NA	can't find a basin	NA	Raw	39	AWI	7
LegacyPollen_1.0	CHERNIH	Neotoma	Chernikhovo	Chernikhovo	355	363	53.41667	26.43333	168	Europe	Peat	FIXED_100	NA	NA	Raw	52	AWI	4
LegacyPollen_1.0	CHERYAR	Neotoma	Chernyii Yar Exposure 955	Chernyii Yar Exposure 955	356	364	43.18333	134.4333	4	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	35	AWI	5
LegacyPollen_1.0	CHESNOK	Neotoma	Chesnok Peat, Irtysh River	Chesnok Peat, Irtysh River	357	365	60	66.5	42	Asia	Peat	FIXED_100	NA	NA	Raw	34	AWI	7
LegacyPollen_1.0	CHIPPEWA	Neotoma	Chippewa Bog	Chippewa Bog	360	369	43.12389	-83.2411	270	Eastern North America	Peat	FIXED_100	NA	NA	Raw	75	AWI	4
LegacyPollen_1.0	CHIVRES	Neotoma	Le Marais St Boetien	Le Marais St Boetien	363	374	49.61667	3.816667	73	Europe	Peat	FIXED_100	NA	NA	Raw	30	AWI	6
LegacyPollen_1.0	CHTSWRTH	Neotoma	Chatsworth Bog	Chatsworth Bog	364	375	40.67587	-88.3244	219	Eastern North America	Peat	FIXED_100	NA	NA	Raw	64	AWI	8
LegacyPollen_1.0	CIELBLAN	Neotoma	Lac Ciel Blanc	Lac Ciel Blanc	370	381	59.51667	-122.167	651	Western North America	Lake	GIS	l, LW, L2,	177078.5917	Raw	24	AWI	5
LegacyPollen_1.0	CLARENCE	Neotoma	Isla Clarence	Isla Clarence	477	488	-54.2	-71.233333	10	South America	Peat	FIXED_100	NA	NA	Raw	39	AWI	3
LegacyPollen_1.0	CLEARLIA	Neotoma	Clear Lake	Clear Lake	478	489	43.12507	-93.4297	374	Eastern North America	Lake	GIS	l, LW, L2,	14698790.26	Raw	53	AWI	11
LegacyPollen_1.0	CLEARLK	Neotoma	Clear Lake	Clear Lake	479	490	41.63854	-86.5446	244	Eastern North America	Lake	GIS	l, GE, L2,	227763.7982	Raw	56	AWI	8
LegacyPollen_1.0	CLEARPND	Neotoma	Clear Pond	Clear Pond	480	492	33.7989	-78.9534	10	Eastern North America	Lake	GIS	l, GE, L2,	8303.172361	Raw	181	AWI	10
LegacyPollen_1.0	CLEARWTR	Neotoma	Clearwater Lake	Clearwater Lake	481	493	50.87361	-107.933	686	Western North America	Lake	GIS	l, LW, L2,	560508.9889	Raw	34	AWI	2
LegacyPollen_1.0	COCALVAR	Neotoma	Cerro Calvario	Cerro Calvario	483	495	-16.25	-68.5	3950	South America	Peat	FIXED_100	NA	NA	Raw	18	AWI	3
LegacyPollen_1.0	COGHILL	Neotoma	Coghill Lake	Coghill Lake	484	496	53.91	-66.78	530	Eastern North America	Lake	GIS	l, LW, L2,	5339743.086	Raw	25	AWI	5
LegacyPollen_1.0	COLOMSH	Neotoma	Colo Marsh	Colo Marsh	485	497	42.02	-93.27	329	Eastern North America	Peat	FIXED_100	NA	NA	Raw	49	AWI	6
LegacyPollen_1.0	COMPASS	Neotoma	Compass Pond	Compass Pond	489	501	50.03417	-56.1964	236	Eastern North America	Lake	GIS	Chenhzi: site description. Lake shapes: l check in gis or take average of few lakes closeby. It is definitely a lake.	32239.89	Raw	71	AWI	7
LegacyPollen_1.0	COPLEY	Neotoma	Copley Lake	Copley Lake	494	506	38.87213	-107.083	3250	Western North America	Lake	GIS	l, GE, L2,	38977.6619	Raw	60	AWI	6
LegacyPollen_1.0	COPPER	Neotoma	Coppermine Saddleback	Coppermine Saddleback	495	507	67.83333	-115.317	43	Western North America	Lake	Google Earth	9 lakes in 2 km radius averaged	110472.1374	Raw	47	AWI	4
LegacyPollen_1.0	COTAPAMP	Neotoma	Cotapampa	Cotapampa	497	509	-15.2167	-69.1	4450	South America	Peat	FIXED_100	NA	NA	Raw	16	AWI	5
LegacyPollen_1.0	COTJ	Neotoma	Tourbière de Lanoraie COTEAU JAUNE	Tourbiere de Lanoraie COTEAU JAUNE	498	510	45.96083	-73.3419	18	Eastern North America	Peat	FIXED_100	NA	NA	Raw	24	AWI	5
LegacyPollen_1.0	COTTONWD	Neotoma	Cottonwood Lake (Su)	Cottonwood Lake	500	513	44.83544	-99.9081	549	Eastern North America	Lake	GIS	l, LW, L1,	1917456.296	Raw	67	AWI	10
LegacyPollen_1.0	COTTPASS	Neotoma	Cottonwood Pass Pond	Cottonwood Pass Pond	501	514	38.82873	-106.411	3670	Western North America	Lake	GIS	l, GE, L2,	1465.633503	Raw	33	AWI	3
LegacyPollen_1.0	CRANBER	Neotoma	Cranberry Lake	Cranberry Lake	503	516	44.1	-78.1	170	Eastern North America	Lake	NA	can't find a basin	NA	Raw	107	AWI	7
LegacyPollen_1.0	CRANELAK	Neotoma	Crane Lake	Crane Lake	504	517	36.52986	-112.149	2590	Western North America	Lake	GIS	l, GE, L2,	6658.710759	Raw	23	AWI	3
LegacyPollen_1.0	CRANGLDS	Neotoma	Cranberry Glades	Cranberry Glades	505	518	38.2	-80.2833	1029	Eastern North America	Peat	FIXED_100	NA	NA	Raw	43	AWI	4
LegacyPollen_1.0	CRATES	Neotoma	Crates Lake	Crates Lake	506	519	49.19	-81.26	259	Eastern North America	Lake	GIS	l, GE, L2,	32174.66451	Raw	63	AWI	5
LegacyPollen_1.0	CRIDERS	Neotoma	Crider's Pond	Crider's Pond	510	523	39.96667	-77.55	290	Eastern North America	Lake	NA	can't find a basin	NA	Raw	56	AWI	3
LegacyPollen_1.0	CRISTAL	Neotoma	Cristal Lake	Cristal Lake	511	524	52.11667	-90.0833	355	Eastern North America	Lake	GIS	l, LW, L2,	1631370.378	Raw	16	AWI	5
LegacyPollen_1.0	CROWFOOT	Neotoma	Crowfoot Lake	Crowfoot Lake	512	525	51.65	-116.42	1940	Western North America	Lake	GIS	l, GE, L2,	229637.6298	Raw	47	AWI	13
