Project	Event	Data_Source	Site_Name	Site_Name_Clean	Site_ID	Dataset_ID	Latitude	Longitude	Elevation	Continent	Basin_Type	Basin_Source	Basin_Comment	Basin_Area	Data_Type	Number_Pollen_Samples	AgeModel_Source	Number_Datings
LegacyPollen_1.0	CHANGJICM97	Cao et al. (2013) / Zhou et al. (2022)	Changjiang River CM97	Changjiang River CM97	142	100100	31.617	121.383	2	Asia	Alluvial/Fluvial	NA	NA	NA	Digitized	57	Zhou et al. (2022)	10
LegacyPollen_1.0	CHANGJIHQ98	Cao et al. (2013) / Zhou et al. (2022)	Changjiang River HQ98	Changjiang River HQ98	143	100101	32.25	120.233	6	Asia	Alluvial/Fluvial	NA	NA	NA	Digitized	65	Zhou et al. (2022)	10
LegacyPollen_1.0	CHANGSHAN	Cao et al. (2013) / Zhou et al. (2022)	Changshan	Changshan	144	100102	31.95	120.35	6	Asia	Alluvial/Fluvial	NA	NA	NA	Digitized	18	Zhou et al. (2022)	5
LegacyPollen_1.0	GUANGTA	Cao et al. (2013) / Zhou et al. (2022)	Guantangtou	Guantangtou	133	100103	31.95	119.15	24	Asia	Peat	FIXED_100	NA	NA	Raw	12	Zhou et al. (2022)	2
LegacyPollen_1.0	GUCHENG	Cao et al. (2013) / Zhou et al. (2022)	Gucheng Lake	Gucheng Lake	132	100104	31.276	118.897	6	Asia	Lake	GIS	l, LW, L2,	30715598.39	Raw	315	Zhou et al. (2022)	6
LegacyPollen_1.0	HUASHAN	Cao et al. (2013) / Zhou et al. (2022)	Huashankou	Huashankou	135	100105	31.95	119.15	24	Asia	Peat	FIXED_100	NA	NA	Digitized	23	Zhou et al. (2022)	3
LegacyPollen_1.0	QIDONG	Cao et al. (2013) / Zhou et al. (2022)	Qidong	Qidong	140	100107	31.9	121.7	10	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	30	Zhou et al. (2022)	8
LegacyPollen_1.0	XINGXH1	Cao et al. (2013) / Zhou et al. (2022)	Xinghua XH1	Xinghua XH1	141	100108	32.71	119.876	2	Asia	Alluvial/Fluvial	NA	NA	NA	Digitized	20	Zhou et al. (2022)	4
LegacyPollen_1.0	ZHENJI	Cao et al. (2013) / Zhou et al. (2022)	Zhenjiang	Zhenjiang	145	100109	32.183	119.45	6	Asia	Alluvial/Fluvial	NA	NA	NA	Digitized	47	Zhou et al. (2022)	7
LegacyPollen_1.0	DAHU	Cao et al. (2013) / Zhou et al. (2022)	Dahu Lake	Dahu Lake	146	100110	24.25	115.033	250	Asia	Peat	FIXED_100	NA	NA	Digitized	33	Zhou et al. (2022)	20
LegacyPollen_1.0	DINGNAN	Cao et al. (2013) / Zhou et al. (2022)	Dingnan	Dingnan	148	100111	24.75	115.033	274	Asia	Lake	NA	can't find a basin	NA	Digitized	31	Zhou et al. (2022)	7
LegacyPollen_1.0	POYANGZK2	Cao et al. (2013) / Zhou et al. (2022)	Poyang Lake ZK2	Poyang Lake ZK2	150	100112	29.742	116.214	8	Asia	Lake	GIS	l, LW, L2,	2395224929	Digitized	37	Zhou et al. (2022)	6
LegacyPollen_1.0	DASHAN	Cao et al. (2013) / Zhou et al. (2022)	Dashan	Dashan	119	100114	44.883	124.85	200	Asia	Peat	FIXED_100	NA	NA	Raw	40	Zhou et al. (2022)	5
LegacyPollen_1.0	ERLONGWA	Cao et al. (2013) / Zhou et al. (2022)	Erlongwan Maar Lake	Erlongwan Maar Lake	120	100115	42.3	126.367	724	Asia	Lake	GIS	l, GE, L2, modified LW shape	263196.2876	Digitized	51	Zhou et al. (2022)	16
LegacyPollen_1.0	HARBA	Cao et al. (2013) / Zhou et al. (2022)	Harbaling	Harbaling	121	100117	43.633	129.2	600	Asia	Peat	FIXED_100	NA	NA	Raw	17	Zhou et al. (2022)	3
LegacyPollen_1.0	HONGSHE	Cao et al. (2013) / Zhou et al. (2022)	Hongsheng	Hongsheng	124	100118	46.667	123.717	146	Asia	Loess/Palaeosol	NA	? special type: paleosol?	NA	Raw	5	Zhou et al. (2022)	4
LegacyPollen_1.0	JINCHU	Cao et al. (2013) / Zhou et al. (2022)	Jinchuan	Jinchuan	125	100119	42.35	126.383	620	Asia	Peat	FIXED_100	NA	NA	Digitized	56	Zhou et al. (2022)	8
LegacyPollen_1.0	SONGJI	Cao et al. (2013) / Zhou et al. (2022)	Songjiang	Songjiang	128	100121	42.581	128.326	680	Asia	Alluvial/Fluvial	NA	NA	NA	Digitized	14	Zhou et al. (2022)	5
LegacyPollen_1.0	XIAONAN	Cao et al. (2013) / Zhou et al. (2022)	Xiaonan	Xiaonan	129	100122	43.883	125.217	209	Asia	Peat	FIXED_100	NA	NA	Raw	20	Zhou et al. (2022)	3
LegacyPollen_1.0	KARAS	Cao et al. (2013)	Karas'e Lake	Karas'e Lake	123	100123	53.031	70.21626	435	Asia	Lake	NA	l, GE, L2, modified LW shape	166236.5311	Raw	38	AWI	6
LegacyPollen_1.0	KOTYR	Cao et al. (2013)	Kotyrkol	Kotyrkol	124	100124	52.96667	70.41667	439	Asia	Peat	FIXED_100	? Pin located in lake, but peatland around the lake.	NA	Raw	21	AWI	5
LegacyPollen_1.0	OZERKI2	Cao et al. (2013)	Ozerki	Ozerki	125	100125	50.4	80.46667	210	Asia	Peat	FIXED_100	? Pin located in lake, but peatland around the lake.	NA	Raw	48	AWI	9
LegacyPollen_1.0	PASHENNOE	Cao et al. (2013)	Pashennoe Lake	Pashennoe Lake	126	100126	49.37	75.4	871	Asia	Lake	GIS	l, GE, L2, Shape has Dataset_ID 1860	700685.3127	Raw	34	AWI	12
LegacyPollen_1.0	AKTEREK	Cao et al. (2013)	Ak Terek	Ak Terek	127	100127	41.28333	72.83333	1748	Asia	Peat	FIXED_100	NA	NA	Digitized	39	Cao et al. (2013)	4
LegacyPollen_1.0	BAKALY_neotoma	Cao et al. (2013)	Bakaly Lake	Bakaly Lake	128	100128	41.86667	71.96667	1879	Asia	Lake	GIS	l, GE, L2, Shape has Dataset_ID 47671	10124.98	Digitized	35	Cao et al. (2013)	6
LegacyPollen_1.0	KICHIKOL	Cao et al. (2013)	Kichikol Lake	Kichikol Lake	129	100129	39.98333	73.55	2541	Asia	Lake	GIS	l, GE, L2, Shape has Dataset_ID 47669	96117.36	Digitized	47	AWI	3
LegacyPollen_1.0	NIZNEE	Cao et al. (2013)	Nizhnee Lake	Nizhnee Lake	131	100131	41.31	72.96	1371	Asia	Lake	GIS	l, GE, L2, Shape has Dataset_ID 47673	16658.68	Digitized	16	Cao et al. (2013)	5
LegacyPollen_1.0	ORTOK_neotoma	Cao et al. (2013)	Ortok Lake	Ortok Lake	132	100132	41.23333	73.25	1786	Asia	Lake	NA	can't find a basin	NA	Digitized	9	Cao et al. (2013)	3
LegacyPollen_1.0	VERKHNEE	Cao et al. (2013)	Verkhnee Lake	Verkhnee Lake	133	100133	41.31	72.96	1440	Asia	Lake	GIS	l, GE, L2, Shape has Dataset_ID 47681	20910.8	Digitized	16	Cao et al. (2013)	4
LegacyPollen_1.0	CHANGXING	Cao et al. (2013) / Zhou et al. (2022)	Changxing Island	Changxing Island	154	100134	39.583	121.417	6	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	8	Zhou et al. (2022)	3
LegacyPollen_1.0	MAILI	Cao et al. (2013) / Zhou et al. (2022)	Maili	Maili	153	100135	42.867	122.883	155	Asia	Peat	FIXED_100	NA	NA	Digitized	31	Zhou et al. (2022)	7
LegacyPollen_1.0	ACHITNUR8	Cao et al. (2013)	Achit Nur 8	Achit Nur 8	136	100136	49.5	90.6	1435	Asia	Lake	NA	l, LW, L2, Shape has Dataset_ID 3861	294308322.6	Digitized	20	AWI	4
LegacyPollen_1.0	DABANUR	Cao et al. (2013)	Daba Nur Lake	Daba Nur Lake	137	100137	48.19	98.76	2465	Asia	Lake	NA	l, GE, L2, Shape has Dataset_ID4010	1582173.628	Digitized	25	AWI	6
LegacyPollen_1.0	DOODNUR	Cao et al. (2013)	Dood Nur Lake	Dood Nur Lake	138	100138	51.33333	99.38333	1538	Asia	Lake	GIS	l, LW, L2, Shape has Dataset_ID 4020	67047629	Digitized	19	AWI	2
LegacyPollen_1.0	GUNNURLA	Cao et al. (2013)	Gun Nur Lake	Gun Nur Lake	139	100139	50.26	106.62	600	Asia	Lake	GIS	l, GE, L2, Shape has Dataset_ID 4081	503940.2	Digitized	36	AWI	7
LegacyPollen_1.0	HOTONNUR2	Cao et al. (2013)	Hoton-Nur-2	Hoton-Nur-2	140	100140	48.62167	88.34583	2083	Asia	Lake	GIS	l, LW, L2, Shape has Dataset_ID 4097	52281373	Digitized	67	AWI	3
LegacyPollen_1.0	HOVSGOLC8	Cao et al. (2013)	Hovsgol Lake C8	Hovsgol Lake C8	141	100141	51.1	100.5	1645	Asia	Lake	GIS	l, LW, L2, Shape has Dataset_ID 4102	2.78E+09	Digitized	47	AWI	4
LegacyPollen_1.0	KHONINNU	Cao et al. (2013)	Khonin Nuga-River Terrace	Khonin Nuga-River Terrace	142	100142	49.08	107.2875	900	Asia	Alluvial/Fluvial	NA	NA	NA	Digitized	17	AWI	2
LegacyPollen_1.0	UGIINUR	Cao et al. (2013)	Lake Ugii Nuur	Lake Ugii Nuur	143	100143	47.76667	102.7667	1330	Asia	Lake	GIS	l, LW, L2,	24218701.63	Digitized	94	AWI	15
LegacyPollen_1.0	YOLINAM	Cao et al. (2013)	Yolin Am	Yolin Am	145	100145	43.43333	104.1	2390	Asia	Loess/Palaeosol	NA	? special type: soil?	NA	Digitized	22	AWI	5
LegacyPollen_1.0	HAIYUAN	Cao et al. (2013) / Zhou et al. (2022)	Haiyuan 2008	Haiyuan 2008	199	100146	36.433	105.967	1600	Asia	Alluvial/Fluvial	NA	? Pin located next to a lake. Possibly the lake is a remnant of a former river that flowed between the mountain ridges.	NA	Digitized	164	Zhou et al. (2022)	10
LegacyPollen_1.0	SOUTHCHINSEAC4	Cao et al. (2013)	South China Sea C4	South China Sea C4	147	100147	18.38333	108.0667	-76	Asia	Marine	NA	NA	NA	Digitized	26	AWI	5
LegacyPollen_1.0	AYONGWA	Cao et al. (2013) / Zhou et al. (2022)	Ayongwama Co	Ayongwama Co	201	100149	34.831	98.198	4220	Asia	Lake	GIS	l, LW, L2,	32121474.03	Digitized	24	Zhou et al. (2022)	3
LegacyPollen_1.0	DABSANCK181	Cao et al. (2013) / Zhou et al. (2022)	Dabsan Lake CK1/81	Dabsan Lake CK1/81	204	100151	37.1	95.5	2675	Asia	Lake	GIS	l, LW, L2,	322005627.6	Raw	29	Zhou et al. (2022)	2
LegacyPollen_1.0	DASHUI	Cao et al. (2013) / Zhou et al. (2022)	Dashuitang	Dashuitang	206	100152	37.133	100.333	3454	Asia	Alluvial/Fluvial	NA	? Pin located in a lake.	NA	Raw	8	Zhou et al. (2022)	2
LegacyPollen_1.0	DOUCO	Cao et al. (2013) / Zhou et al. (2022)	Douco Lake	Douco Lake	207	100153	35.317	99.183	4595	Asia	Lake	GIS	l, LW, L2,	47444193.85	Raw	10	Zhou et al. (2022)	2
LegacyPollen_1.0	GOUNONGKX1	Cao et al. (2013) / Zhou et al. (2022)	Gounong Co KX-1	Gounong Co KX-1	212	100154	34.633	92.15	4670	Asia	Lake	GIS	l, GE, L2,	4770889.498	Raw	126	Zhou et al. (2022)	12
LegacyPollen_1.0	HALALI	Cao et al. (2013) / Zhou et al. (2022)	Halali	Halali	213	100155	36.717	99.783	3220	Asia	Loess/Palaeosol	NA	?, special type: loess?, ,	NA	Raw	6	Zhou et al. (2022)	4
LegacyPollen_1.0	HURLEGHL5-2	Cao et al. (2013) / Zhou et al. (2022)	Hurleg Lake HL05-2	Hurleg Lake HL05-2	216	100156	37.283	96.9	2817	Asia	Lake	GIS	l, LW, L2, Shape has Dataset_ID 14612	54360950	Raw	61	Zhou et al. (2022)	8
LegacyPollen_1.0	KOUCHA	Cao et al. (2013) / Zhou et al. (2022)	Koucha Lake	Koucha Lake	218	100157	34.011	97.241	4540	Asia	Lake	GIS	l, LW, L2,	17583160.37	Raw	66	Zhou et al. (2022)	5
LegacyPollen_1.0	LUANHAILH2	Cao et al. (2013) / Zhou et al. (2022)	Luanhaizi Lake LH2	Luanhaizi Lake LH2	219	100158	37.593	101.35	3200	Asia	Lake	GIS	l, LW, L1,	655983.8059	Raw	65	Zhou et al. (2022)	7
LegacyPollen_1.0	QINGHAIQH2000	Cao et al. (2013) / Zhou et al. (2022)	Qinghai Lake QH-2000	Qinghai Lake QH-2000	221	100159	36.667	100.517	3200	Asia	Lake	GIS	l, LW, L2,	4268054413	Raw	277	Zhou et al. (2022)	6
